ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,age,RtoHd=0,RtoHd=5,RtoHd=10,RtoHd=20,RtoHd=Max,HtoRd=0,HtoRd=5,HtoRd=10,HtoRd=20,HtoRd=Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141359,7,7,7,7,7,7,7,7,7,11,0.001696094,0.001921567,0.001716503,0.001882781,0.001921567,0.002255636,0.002388522,0.002428458,0.001815543,0.002428458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125944,6,5,3,5,6,3,6,2,7,22,0.003883811,0.004309388,0.004047266,0.004379385,0.004379385,0.001394642,0.001384959,0.001240319,0.001136358,0.001394642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133947,7,7,7,7,7,7,7,6,7,22,0.001806184,0.001510849,0.001285522,0.000851268,0.001806184,0.001054493,0.00031276,0.000546596,0.000852472,0.001054493,,,,,,,,,RtoH entropy VS Q5,,,,,,,,,,HtoR entropy VS Q5,,,,,,,,,,RtoH entropy VS Q6,,,,,,,,,,RtoH entropy VS Q6,
152902,6,6,7,7,7,7,7,6,7,22,0.002023134,0.001555753,0.0020093,0.002043624,0.002043624,0.00167422,0.000944223,0.001733397,0.001407799,0.001733397,,,,,,,,,N,13,,,,,,,,,N,13,,,,,,,,,N,13,,,,,,,,,N,13
171118,6,6,7,6,5,6,7,6,6,22,0.002224896,0.002036872,0.001274812,0.001248209,0.002224896,0.002166798,0.001137757,0.00229777,0.002023703,0.00229777,,,,,,,,,R,0.411642001,,,,,,,,,R,-0.526040337,,,,,,,,,R,-0.206989225,,,,,,,,,R,-0.041357082
143640,4,5,5,5,5,5,5,5,6,23,0.002293767,0.002374863,0.000615259,0.001024009,0.002374863,0.000474014,0.000339015,0.000245324,0.000232114,0.000474014,,,,,,,,,t,1.498072757,,,,,,,,,t,2.051453569,,,,,,,,,t,0.701702205,,,,,,,,,t,0.13728338
155021,6,7,6,7,7,7,7,6,7,25,0.002603617,0.001875415,0.001921564,0.001705739,0.002603617,0.00111218,0.001026301,0.001240769,0.001421485,0.001421485,,,,,,,,,p,0.162250793,,,,,,,,,p,0.064813166,,,,,,,,,p,0.497442913,,,,,,,,,p,0.893287383
154457,5,4,5,5,5,5,6,5,7,26,0.003190348,0.003152402,0.002814155,0.002462695,0.003190348,8.08E-05,0.00050017,0.000530515,0.00045922,0.000530515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131319,5,5,2,2,5,5,3,5,5,27,0.001703045,0.001852398,0.001433972,0.000930634,0.001852398,0.001657122,0.00188694,0.00170698,0.001961463,0.001961463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114156,5,5,6,4,6,7,7,4,7,29,0.000767693,0.001204642,0.000617249,0.000728442,0.001204642,0.000936571,0.001676105,0.000770579,0.001060298,0.001676105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160347,5,4,5,6,6,6,6,4,7,29,0.003685671,0.004422961,0.003635591,0.003076376,0.004422961,0.001803049,0.001451638,0.001868815,0.001488776,0.001868815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162150,7,7,5,7,6,7,7,5,7,31,0.002446838,0.002447693,0.001839171,0.001613012,0.002447693,0.00343671,0.003711728,0.003928909,0.003577609,0.003928909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153433,2,5,2,2,2,3,2,2,4,34,0.000476986,0.000423306,0.000297935,0.00028966,0.000476986,0.004196158,0.004146334,0.004181863,0.004609142,0.004609142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102104,7,7,5,5,5,7,7,7,7,35,0.000577013,0.000164673,0.000400963,0.00032788,0.000577013,0.003541516,0.003981461,0.003504783,0.003400088,0.003981461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130017,1,1,1,1,1,1,1,4,7,40,0.003599489,0.003386505,0.002792095,0.002359922,0.003599489,0.001218521,0.001574651,0.000970277,0.000793888,0.001574651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140757,6,5,5,5,5,6,5,4,6,41,0.00277915,0.002775981,0.002415227,0.002119229,0.00277915,0.006705372,0.004905297,0.00662471,0.006582896,0.006705372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164521,5,5,6,6,6,6,5,5,6,42,0.00204101,0.001403534,0.001876152,0.001826296,0.00204101,0.001776885,0.002103075,0.001807214,0.002214905,0.002214905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142941,5,3,4,3,3,4,5,4,5,45,0.002965175,0.003035744,0.002338137,0.001807344,0.003035744,0.001285756,0.000846526,0.00126879,0.001222113,0.001285756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132755,6,6,6,6,7,6,6,6,7,46,0.003634201,0.004373475,0.002706328,0.002322524,0.004373475,0.000689244,0.000509644,0.000676015,0.00047377,0.000689244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144033,6,6,6,6,5,6,6,6,5,49,0.00421014,0.003490786,0.004265119,0.003397111,0.004265119,0.002784694,0.002267432,0.00242595,0.00175256,0.002784694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162755,7,7,7,7,7,7,5,6,7,49,0.001079344,0.001398737,0.00122703,0.001294609,0.001398737,0.002397754,0.002436594,0.002573479,0.002189364,0.002573479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163843,5,7,7,5,6,4,3,3,7,49,0.002445229,0.002189409,0.001549114,0.001365537,0.002445229,0.00092225,0.001317344,0.000853868,0.001216133,0.001317344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151304,6,6,3,5,5,5,5,5,6,50,0.002416492,0.002484239,0.002463483,0.002565553,0.002565553,0.003403831,0.00298547,0.003367732,0.003271276,0.003403831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155638,4,4,5,6,5,4,5,6,6,51,0.004153644,0.003258832,0.0032221,0.003382682,0.004153644,0.000678284,0.001013198,0.000835586,0.000517986,0.001013198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131828,2,4,3,3,4,4,4,4,6,53,0.004828977,0.00416564,0.004541762,0.004314014,0.004828977,0.000893883,0.000518352,0.00104565,0.001221306,0.001221306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143819,4,7,5,6,6,5,5,4,5,53,0.001956826,0.00130284,0.001211735,0.000969196,0.001956826,0.00166507,0.001395324,0.001571576,0.00172926,0.00172926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150548,2,4,3,3,3,4,3,4,5,53,0.001056125,0.001246839,0.000831937,0.000491984,0.001246839,0.001724098,0.001247856,0.001892814,0.001507904,0.001892814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155115,5,4,5,5,5,3,5,3,5,53,0.002198299,0.001679594,0.002231759,0.002256622,0.002256622,0.003818969,0.004255944,0.003978146,0.003984423,0.004255944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165308,5,6,2,2,3,6,4,4,6,53,0.002806698,0.002476209,0.002585875,0.002272065,0.002806698,0.000713622,0.000986261,0.000583674,0.000623021,0.000986261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152219,3,3,3,3,3,4,4,4,4,54,0.000973801,0.00206085,0.001127431,0.001039106,0.00206085,0.000917964,0.001061404,0.000888822,0.000811035,0.001061404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111932,6,3,5,5,4,3,5,3,4,55,0.001708805,0.001931855,0.00168302,0.001722873,0.001931855,0.005662359,0.006626898,0.006359072,0.006098953,0.006626898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100404,7,7,7,7,7,7,7,7,7,56,0.004826505,0.005327183,0.004405334,0.004064457,0.005327183,0.001842892,0.002794007,0.001763818,0.001607463,0.002794007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164627,5,7,6,5,6,6,6,5,7,56,0.004235669,0.002491593,0.003548424,0.003071873,0.004235669,0.002577524,0.001479746,0.002342145,0.002823862,0.002823862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132210,6,5,4,5,4,4,5,3,4,58,0.005137708,0.003889854,0.004921538,0.004170605,0.005137708,0.001451461,0.001355106,0.00150131,0.000937886,0.00150131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131258,5,3,4,3,2,2,4,3,4,60,0.000519754,0.000116544,0.000373451,0.000308106,0.000519754,0.003709269,0.003295092,0.003450281,0.003801148,0.003801148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132531,6,6,6,6,6,7,7,6,7,60,0.003548846,0.003267375,0.003181209,0.003616342,0.003616342,0.001725842,0.001330088,0.002070228,0.001819992,0.002070228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151743,7,7,7,7,7,4,7,7,7,61,0.001954468,0.001755461,0.001997291,0.001514234,0.001997291,0.003078723,0.002295218,0.003174523,0.003195453,0.003195453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152435,5,4,5,5,4,4,4,5,6,62,0.00268159,0.002785352,0.002727916,0.002701793,0.002785352,0.002984819,0.002734889,0.00299453,0.002914469,0.00299453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140304,5,5,5,5,5,5,5,5,5,65,0.003375346,0.003469012,0.002843194,0.002601388,0.003469012,0.000864365,0.000525411,0.000589326,0.000585854,0.000864365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
