ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,age,RtoHd=0,RtoHd=5,RtoHd=10,RtoHd=20,RtoHd=30,RtoHd=Max,HtoRd=0,HtoRd=5,HtoRd=10,HtoRd=20,HtoRd=30,HtoRd=Max
100404,7,7,7,7,7,7,7,7,7,56,0.004826504512273622,0.005327182962824195,0.004405333674834422,0.004064457197019755,0.003683167397805387,0.005327182962824195,0.0018428921326167913,0.002794007488124639,0.0017638179137511312,0.0016074631827914798,0.0019312598599092734,0.002794007488124639
102104,7,7,5,5,5,7,7,7,7,35,0.0005770133689215751,0.00016467325360058904,0.00040096330503391897,0.00032788010382733823,0.00019130412966406052,0.0005770133689215751,0.003541516184775606,0.003981461150553867,0.0035047826309505536,0.003400088075404595,0.0033539999178303637,0.003981461150553867
104304,7,6,6,7,6,4,5,4,7,40,,,,,,,,,,,,
110401,6,6,4,4,4,5,5,4,6,50,0.004171978175850133,0.0031187013491046356,0.0028985211410041956,0.002580535040527465,0.002781805024656858,0.004171978175850133,0.000297386417964951,0.00021142577642696558,0.00013336691405119172,-0.0006533708615144018,-0.00027565614104285707,0.000297386417964951
111932,6,3,5,5,4,3,5,3,4,55,0.0017088046507117705,0.0019318551074880563,0.0016830199711567184,0.0017228726682010365,0.001699499593589393,0.0019318551074880563,0.005662358606478013,0.0066268975204007985,0.006359072467701288,0.006098952672627389,0.0058752539024605754,0.0066268975204007985
114156,5,5,6,4,6,7,7,4,7,29,0.0007676931373694629,0.0012046417778651675,0.000617249183376023,0.0007284424746872853,0.0006921088278081244,0.0012046417778651675,0.0009365707891163533,0.0016761054762065575,0.0007705790108433197,0.0010602978494279602,0.0011275304207967185,0.0016761054762065575
125944,6,5,3,5,6,3,6,2,7,22,0.003883811241993218,0.004309388238938228,0.0040472663603006165,0.004379384670435971,0.003937780394186241,0.004379384670435971,0.0013946423752431159,0.0013849592381784959,0.001240318819488162,0.0011363581283575508,0.0013791066540229657,0.0013946423752431159
130017,1,1,1,1,1,1,1,4,7,40,0.0035994893459031507,0.0033865046488181783,0.0027920952666246057,0.0023599220441873348,0.002149197307119821,0.0035994893459031507,0.0012185211383389793,0.001574651253140713,0.0009702766983801236,0.0007938879494621132,0.0007048958466984168,0.001574651253140713
131258,5,3,4,3,2,2,4,3,4,60,0.000519754386370086,0.00011654404765770732,0.00037345086687567974,0.00030810562095384686,0.00017617498909427987,0.000519754386370086,0.0037092686191423363,0.0032950915808199754,0.003450280884248591,0.0038011480892523597,0.0035181860072727167,0.0038011480892523597
131319,5,5,2,2,5,5,3,5,5,27,0.0017030452195049284,0.001852398108292963,0.0014339721837423047,0.0009306343423249874,0.0008572433579866479,0.001852398108292963,0.0016571217261627247,0.0018869404731404193,0.0017069796221093059,0.00196146341192982,0.0021968731616448522,0.0021968731616448522
